Day,Total Amount,currency,Total Amount of transactions done,period of transaction,User_id,dates
Monday,50000,Naira,3,Evening,1,1/1/2020
Wednesday,20000,Naira,2,Morning,1,1/3/2020
Wednesday,80000,Naira,6,Evening,1,1/10/2020
Monday,40000,Naira,3,Afternoon,1,1/15/2020
Tuesday,32000,Naira,2,Afternoon,1,1/16/2020
Thursday,10000,Naira,1,Morning,1,1/18/2020
Monday,60000,Naira,4,Afternoon,1,1/22/2020
Tuesday,55000,Naira,3,Evening,1,1/23/2020
Thursday,70000,Naira,4,Evening,1,1/25/2020
Monday,5000,Naira,1,Morning,1,1/29/2020
Wednesday,45000,Naira,3,Morning,1,1/31/2020
Thursday,74000,Naira,3,Afternoon,1,2/1/2020
Tuesday,95000,Naira,4,Morning,1,2/6/2020
Monday,22000,Naira,2,Evening,1,2/12/2020
Wednesday,56000,Naira,2,Morning,1,2/14/2020
Tuesday,33000,Naira,3,Afternoon,1,2/20/2020
Wednesday,22000,Naira,4,Morning,1,2/21/2020
Monday,56000,Naira,1,Evening,1,2/26/2020
Wednesday,90000,Naira,4,Afternoon,1,2/28/2020
Thursday,3000,Naira,1,Morning,1,3/1/2020
